# my-scanner decisions v1
# src: samples/real/checker.ts
# sha256: aa3d9021ee9c6806911975fe0e6b5e157842f1b03fcc92cb5a261aaac8d1f484
# tsc: 6.0.3
D regex 30043 30051 30043 30051
D tpl 115086 115090 115086 115090
D tpl 115105 115107 115105 115107
D tpl 278095 278099 278095 278099
D tpl 278110 278112 278110 278112
D tpl 278219 278222 278219 278222
D tpl 278240 278243 278240 278243
D tpl 278248 278303 278248 278303
D tpl 287343 287347 287343 287347
D tpl 287407 287411 287407 287411
D tpl 287418 287420 287418 287420
D tpl 389630 389634 389630 389634
D tpl 389647 389651 389647 389651
D tpl 389672 389674 389672 389674
D tpl 416005 416023 416005 416023
D tpl 416218 416229 416218 416229
D regex 428029 428034 428029 428034
D tpl 429916 429934 429916 429934
D tpl 430026 430037 430026 430037
D tpl 431139 431157 431139 431157
D tpl 431249 431260 431249 431260
D regex 440769 440781 440769 440781
D regex 440808 440814 440808 440814
D tpl 489340 489344 489340 489344
D tpl 489345 489347 489345 489347
D regex 495015 495021 495015 495021
D tpl 536636 536648 536636 536648
D regex 563102 563107 563102 563107
D tpl 566300 566312 566300 566312
D tpl 574680 574692 574680 574692
D tpl 635753 635755 635753 635755
D tpl 641588 641595 641588 641595
D tpl 644482 644486 644482 644486
D tpl 644487 644489 644487 644489
D regex 645828 645841 645828 645841
D tpl 651848 651851 651848 651851
D tpl 651984 651987 651984 651987
D tpl 652217 652220 652217 652220
D tpl 819851 819855 819851 819855
D tpl 819862 819864 819862 819864
D tpl 832537 832539 832537 832539
D tpl 893395 893399 893395 893399
D tpl 893422 893424 893422 893424
D tpl 979162 979164 979162 979164
D tpl 979226 979228 979226 979228
D tpl 988841 988843 988841 988843
D tpl 992791 992795 992791 992795
D tpl 992813 992815 992813 992815
D tpl 993532 993536 993532 993536
D tpl 993540 993542 993540 993542
D tpl 998438 998442 998438 998442
D tpl 998463 998465 998463 998465
D tpl 1067040 1067042 1067040 1067042
D tpl 1067151 1067153 1067151 1067153
D tpl 1067202 1067206 1067202 1067206
D tpl 1067226 1067228 1067226 1067228
D tpl 1106237 1106241 1106237 1106241
D tpl 1106279 1106283 1106279 1106283
D tpl 1106300 1106302 1106300 1106302
D tpl 1111258 1111262 1111258 1111262
D tpl 1111277 1111279 1111277 1111279
D tpl 1184087 1184090 1184087 1184090
D tpl 1184127 1184130 1184127 1184130
D tpl 1184135 1184137 1184135 1184137
D tpl 1185034 1185038 1185034 1185038
D tpl 1185062 1185064 1185062 1185064
D tpl 1299553 1299556 1299553 1299556
D tpl 1299669 1299672 1299669 1299672
D tpl 1300900 1300903 1300900 1300903
D tpl 1318650 1318653 1318650 1318653
D tpl 1318934 1318936 1318934 1318936
D tpl 1319175 1319179 1319175 1319179
D tpl 1319182 1319184 1319182 1319184
D tpl 1319426 1319429 1319426 1319429
D tpl 1319432 1319434 1319432 1319434
D tpl 1319621 1319625 1319621 1319625
D tpl 1319628 1319631 1319628 1319631
D tpl 1321999 1322002 1321999 1322002
D tpl 1322006 1322010 1322006 1322010
D tpl 1322016 1322019 1322016 1322019
D tpl 1322940 1322942 1322940 1322942
D tpl 1494131 1494134 1494131 1494134
D tpl 1494142 1494146 1494142 1494146
D tpl 1494154 1494157 1494154 1494157
D tpl 1494164 1494166 1494164 1494166
D tpl 1496407 1496411 1496407 1496411
D tpl 1496420 1496423 1496420 1496423
D tpl 1496430 1496432 1496430 1496432
D tpl 1522123 1522125 1522123 1522125
D tpl 1650966 1650970 1650966 1650970
D tpl 1650993 1650997 1650993 1650997
D tpl 1651019 1651023 1651019 1651023
D tpl 1651042 1651044 1651042 1651044
D tpl 1651229 1651233 1651229 1651233
D tpl 1651256 1651260 1651256 1651260
D tpl 1651282 1651284 1651282 1651284
D tpl 1651739 1651743 1651739 1651743
D tpl 1651784 1651786 1651784 1651786
D tpl 1652201 1652205 1652201 1652205
D tpl 1652213 1652215 1652213 1652215
D tpl 1652722 1652727 1652722 1652727
D tpl 1652746 1652748 1652746 1652748
D tpl 1653235 1653239 1653235 1653239
D tpl 1653262 1653264 1653262 1653264
D tpl 1668602 1668606 1668602 1668606
D tpl 1668629 1668631 1668629 1668631
D tpl 1783197 1783201 1783197 1783201
D tpl 1783221 1783225 1783221 1783225
D tpl 1783270 1783272 1783270 1783272
D tpl 1817885 1817887 1817885 1817887
D tpl 1934588 1934592 1934588 1934592
D tpl 1934617 1934619 1934617 1934619
D tpl 1936499 1936503 1936499 1936503
D tpl 1936528 1936530 1936528 1936530
D tpl 1964016 1964018 1964016 1964018
D tpl 2078489 2078493 2078489 2078493
D tpl 2078506 2078508 2078506 2078508
D regex 2082749 2082799 2082749 2082799
D tpl 2263586 2263590 2263586 2263590
D tpl 2263595 2263597 2263595 2263597
D tpl 2264234 2264238 2264234 2264238
D tpl 2265257 2265259 2265257 2265259
D tpl 2265969 2265973 2265969 2265973
D tpl 2265978 2265980 2265978 2265980
D tpl 2285542 2285545 2285542 2285545
D tpl 2285565 2285568 2285565 2285568
D tpl 2285579 2285581 2285579 2285581
D tpl 2424209 2424225 2424207 2424223
D tpl 2424300 2424303 2424298 2424301
D tpl 2689079 2689081 2689077 2689079
D tpl 2774221 2774224 2774219 2774222
D tpl 2775041 2775044 2775039 2775042
D tpl 2789566 2789570 2789564 2789568
D tpl 2789604 2789606 2789602 2789604
D tpl 2816535 2816541 2816533 2816539
D tpl 2816559 2816561 2816557 2816559
D tpl 2947831 2947833 2947829 2947831
D tpl 3110371 3110415 3110369 3110413
