# my-scanner decisions v1
# src: samples/real/lib.dom.d.ts
# sha256: 080941d9f9ff9307f7e27a83bcd888b7c8270716c39af943532438932ec1d0b9
# tsc: 6.0.3
D tpl 337468 337472 337444 337448
D tpl 337478 337482 337454 337458
D tpl 337488 337492 337464 337468
D tpl 337498 337502 337474 337478
D tpl 337508 337510 337484 337486
D tpl 1855608 1855611 1855522 1855525
D tpl 1855651 1855654 1855565 1855568
D tpl 1855667 1855670 1855581 1855584
D tpl 1855715 1855717 1855629 1855631
D tpl 1855805 1855808 1855719 1855722
D tpl 1855828 1855830 1855742 1855744
D tpl 1855872 1855874 1855786 1855788
D tpl 1858661 1858663 1858575 1858577
D tpl 1858719 1858722 1858633 1858636
