# my-scanner decisions v1
# src: samples/real/hanzi-chai.ts
# sha256: 11f25d132bdebf3a61808cae8cb390cbd91f86db040a734497123ff73c37f7b9
# tsc: 6.0.3
D tpl 3985 3989 3093 3097
D tpl 3998 4002 3106 3110
D tpl 4009 4013 3117 3121
D tpl 4020 4022 3128 3130
D tpl 18159 18163 13237 13241
D tpl 18209 18211 13259 13261
D tpl 20654 20658 14856 14860
D tpl 20733 20735 14907 14909
D tpl 40897 40899 30365 30367
D tpl 40930 40934 30390 30394
D tpl 40951 40953 30403 30405
D regex 63567 63580 46057 46064
D regex 69949 69961 50043 50055
D tpl 89764 89779 63062 63069
D regex 89987 89997 63195 63201
D tpl 90919 90934 63771 63778
D regex 90945 90955 63789 63795
D tpl 94082 94097 65850 65857
D tpl 94744 94759 66270 66277
D tpl 96023 96038 67099 67106
D tpl 96331 96346 67299 67306
D tpl 97415 97430 68013 68020
D regex 101107 101117 70389 70395
D regex 101254 101264 70474 70480
D regex 102258 102268 71126 71132
D regex 102437 102447 71239 71245
D regex 102450 102460 71248 71254
D regex 103101 103111 71687 71693
D regex 105726 105736 73404 73410
D tpl 111872 111893 77288 77297
D tpl 112706 112727 77814 77823
D tpl 113474 113495 78318 78327
D tpl 117269 117290 80711 80720
D regex 117739 117773 80983 80997
D tpl 137119 137123 94925 94929
D tpl 137134 137136 94936 94938
D tpl 137297 137301 95069 95073
D tpl 137312 137314 95080 95082
D tpl 138060 138063 95656 95659
D tpl 138076 138078 95664 95666
D tpl 138378 138381 95902 95905
D tpl 138399 138401 95915 95917
D tpl 139782 139784 96986 96988
D tpl 139841 139849 97039 97045
D tpl 139867 139869 97063 97065
D tpl 139926 139935 97116 97123
D tpl 140005 140010 97193 97198
D tpl 140032 140035 97220 97223
D tpl 140089 140093 97271 97275
D tpl 140109 140111 97291 97293
D tpl 140153 140157 97335 97339
D tpl 140171 140173 97353 97355
D tpl 143165 143167 99943 99945
D tpl 160804 160807 112952 112955
D tpl 161383 161385 113383 113385
D tpl 167367 167369 117317 117319
D tpl 167709 167711 117589 117591
D tpl 169078 169088 118560 118566
D tpl 169102 169108 118580 118584
D tpl 173101 173103 121401 121403
D tpl 173276 173278 121540 121542
D tpl 176951 176953 124081 124083
D tpl 177129 177141 124197 124203
D tpl 179585 179587 125945 125947
D tpl 179747 179749 126043 126045
D tpl 219843 219845 154077 154079
D tpl 219953 219967 154175 154183
D tpl 220289 220291 154457 154459
D tpl 230915 230919 163330 163334
D tpl 230928 230930 163343 163345
D tpl 231507 231509 163843 163845
D tpl 241643 241645 170967 170969
D tpl 241822 241824 171110 171112
D tpl 245442 245481 173992 174007
D tpl 245594 245633 174108 174123
D tpl 248297 248301 176147 176151
D tpl 248323 248325 176165 176167
D regex 249450 249461 177108 177119
